order_details_id,order_id,order_date,order_time,item_id,item_name,category,price
149,63,2023-01-01,20:51:42,112,"Salmon Roll",Asian,14.95
150,64,2023-01-01,20:52:08,107,"Orange Chicken",Asian,16.50
151,65,2023-01-01,21:16:00,112,"Salmon Roll",Asian,14.95
152,65,2023-01-01,21:16:00,120,"Steak Torta",Mexican,13.95
153,65,2023-01-01,21:16:00,122,"Chips & Salsa",Mexican,7.00
154,65,2023-01-01,21:16:00,123,"Chips & Guacamole",Mexican,9.00
155,66,2023-01-01,21:47:55,108,"Tofu Pad Thai",Asian,14.50
156,66,2023-01-01,21:47:55,110,"Pork Ramen",Asian,17.95
157,67,2023-01-01,22:03:40,105,"Mac & Cheese",American,7.00
158,68,2023-01-01,22:07:32,108,"Tofu Pad Thai",Asian,14.50
159,68,2023-01-01,22:07:32,117,"Chicken Burrito",Mexican,12.95
160,68,2023-01-01,22:07:32,117,"Chicken Burrito",Mexican,12.95
161,69,2023-01-01,22:12:13,101,Hamburger,American,12.95
162,70,2023-01-02,11:38:51,127,"Meat Lasagna",Italian,17.95
163,70,2023-01-02,11:38:51,121,"Cheese Quesadillas",Mexican,10.50
164,71,2023-01-02,11:40:50,106,"French Fries",American,7.00
165,72,2023-01-02,11:57:25,131,"Chicken Parmesan",Italian,17.95
166,73,2023-01-02,11:58:56,106,"French Fries",American,7.00
167,74,2023-01-02,12:01:12,124,Spaghetti,Italian,14.50
168,74,2023-01-02,12:01:12,129,"Mushroom Ravioli",Italian,15.50
169,74,2023-01-02,12:01:12,130,"Shrimp Scampi",Italian,19.95
170,74,2023-01-02,12:01:12,123,"Chips & Guacamole",Mexican,9.00
171,75,2023-01-02,12:10:15,117,"Chicken Burrito",Mexican,12.95
172,75,2023-01-02,12:10:15,128,"Cheese Lasagna",Italian,15.50
173,75,2023-01-02,12:10:15,111,"California Roll",Asian,11.95
174,76,2023-01-02,12:21:17,107,"Orange Chicken",Asian,16.50
175,76,2023-01-02,12:21:17,109,"Korean Beef Bowl",Asian,17.95
176,76,2023-01-02,12:21:17,127,"Meat Lasagna",Italian,17.95
177,76,2023-01-02,12:21:17,122,"Chips & Salsa",Mexican,7.00
178,77,2023-01-02,12:22:46,101,Hamburger,American,12.95
179,77,2023-01-02,12:22:46,109,"Korean Beef Bowl",Asian,17.95
180,78,2023-01-02,12:28:14,107,"Orange Chicken",Asian,16.50
181,78,2023-01-02,12:28:14,108,"Tofu Pad Thai",Asian,14.50
182,78,2023-01-02,12:28:14,125,"Spaghetti & Meatballs",Italian,17.95
183,78,2023-01-02,12:28:14,110,"Pork Ramen",Asian,17.95
184,78,2023-01-02,12:28:14,122,"Chips & Salsa",Mexican,7.00
185,78,2023-01-02,12:28:14,106,"French Fries",American,7.00
186,79,2023-01-02,12:29:11,110,"Pork Ramen",Asian,17.95
187,79,2023-01-02,12:29:11,112,"Salmon Roll",Asian,14.95
188,79,2023-01-02,12:29:11,106,"French Fries",American,7.00
189,80,2023-01-02,12:35:38,113,Edamame,Asian,5.00
190,80,2023-01-02,12:35:38,106,"French Fries",American,7.00
191,81,2023-01-02,12:40:01,106,"French Fries",American,7.00
192,82,2023-01-02,12:45:51,107,"Orange Chicken",Asian,16.50
193,82,2023-01-02,12:45:51,102,Cheeseburger,American,13.95
194,82,2023-01-02,12:45:51,122,"Chips & Salsa",Mexican,7.00
195,82,2023-01-02,12:45:51,132,"Eggplant Parmesan",Italian,16.95
196,83,2023-01-02,12:53:27,105,"Mac & Cheese",American,7.00
197,84,2023-01-02,13:13:41,113,Edamame,Asian,5.00
198,85,2023-01-02,13:34:49,108,"Tofu Pad Thai",Asian,14.50
199,85,2023-01-02,13:34:49,108,"Tofu Pad Thai",Asian,14.50
200,85,2023-01-02,13:34:49,117,"Chicken Burrito",Mexican,12.95
201,85,2023-01-02,13:34:49,114,Potstickers,Asian,9.00
202,86,2023-01-02,13:40:31,109,"Korean Beef Bowl",Asian,17.95
203,87,2023-01-02,14:01:02,110,"Pork Ramen",Asian,17.95
204,87,2023-01-02,14:01:02,129,"Mushroom Ravioli",Italian,15.50
205,87,2023-01-02,14:01:02,123,"Chips & Guacamole",Mexican,9.00
206,87,2023-01-02,14:01:02,123,"Chips & Guacamole",Mexican,9.00
207,88,2023-01-02,14:10:08,124,Spaghetti,Italian,14.50
208,89,2023-01-02,14:30:19,121,"Cheese Quesadillas",Mexican,10.50
209,89,2023-01-02,14:30:19,106,"French Fries",American,7.00
210,90,2023-01-02,15:08:48,120,"Steak Torta",Mexican,13.95
211,90,2023-01-02,15:08:48,106,"French Fries",American,7.00
212,91,2023-01-02,15:14:43,101,Hamburger,American,12.95
213,91,2023-01-02,15:14:43,104,"Veggie Burger",American,10.50
214,91,2023-01-02,15:14:43,113,Edamame,Asian,5.00
215,92,2023-01-02,15:17:02,101,Hamburger,American,12.95
216,92,2023-01-02,15:17:02,117,"Chicken Burrito",Mexican,12.95
217,92,2023-01-02,15:17:02,117,"Chicken Burrito",Mexican,12.95
218,92,2023-01-02,15:17:02,127,"Meat Lasagna",Italian,17.95
219,92,2023-01-02,15:17:02,113,Edamame,Asian,5.00
220,92,2023-01-02,15:17:02,118,"Steak Burrito",Mexican,14.95
221,92,2023-01-02,15:17:02,131,"Chicken Parmesan",Italian,17.95
222,92,2023-01-02,15:17:02,123,"Chips & Guacamole",Mexican,9.00
223,92,2023-01-02,15:17:02,114,Potstickers,Asian,9.00
224,93,2023-01-02,15:29:31,120,"Steak Torta",Mexican,13.95
225,94,2023-01-02,16:17:16,110,"Pork Ramen",Asian,17.95
226,94,2023-01-02,16:17:16,105,"Mac & Cheese",American,7.00
227,95,2023-01-02,16:18:04,111,"California Roll",Asian,11.95
228,95,2023-01-02,16:18:04,118,"Steak Burrito",Mexican,14.95
229,96,2023-01-02,16:21:20,111,"California Roll",Asian,11.95
230,97,2023-01-02,16:45:33,107,"Orange Chicken",Asian,16.50
231,98,2023-01-02,17:18:18,108,"Tofu Pad Thai",Asian,14.50
232,98,2023-01-02,17:18:18,111,"California Roll",Asian,11.95
233,99,2023-01-02,17:45:42,117,"Chicken Burrito",Mexican,12.95
234,100,2023-01-02,17:46:17,109,"Korean Beef Bowl",Asian,17.95
235,101,2023-01-02,17:51:33,102,Cheeseburger,American,13.95
236,101,2023-01-02,17:51:33,113,Edamame,Asian,5.00
237,101,2023-01-02,17:51:33,121,"Cheese Quesadillas",Mexican,10.50
238,101,2023-01-02,17:51:33,122,"Chips & Salsa",Mexican,7.00
239,102,2023-01-02,17:54:04,101,Hamburger,American,12.95
240,102,2023-01-02,17:54:04,119,"Chicken Torta",Mexican,11.95
241,103,2023-01-02,18:02:09,123,"Chips & Guacamole",Mexican,9.00
242,104,2023-01-02,18:02:12,101,Hamburger,American,12.95
243,104,2023-01-02,18:02:12,103,"Hot Dog",American,9.00
244,104,2023-01-02,18:02:12,127,"Meat Lasagna",Italian,17.95
245,104,2023-01-02,18:02:12,132,"Eggplant Parmesan",Italian,16.95
246,105,2023-01-02,18:12:01,109,"Korean Beef Bowl",Asian,17.95
247,105,2023-01-02,18:12:01,113,Edamame,Asian,5.00
248,105,2023-01-02,18:12:01,119,"Chicken Torta",Mexican,11.95
249,106,2023-01-02,18:12:13,129,"Mushroom Ravioli",Italian,15.50
250,106,2023-01-02,18:12:13,122,"Chips & Salsa",Mexican,7.00
251,107,2023-01-02,18:25:09,102,Cheeseburger,American,13.95
252,107,2023-01-02,18:25:09,117,"Chicken Burrito",Mexican,12.95
253,107,2023-01-02,18:25:09,122,"Chips & Salsa",Mexican,7.00
254,107,2023-01-02,18:25:09,132,"Eggplant Parmesan",Italian,16.95
255,108,2023-01-02,18:25:25,108,"Tofu Pad Thai",Asian,14.50
256,108,2023-01-02,18:25:25,109,"Korean Beef Bowl",Asian,17.95
257,108,2023-01-02,18:25:25,123,"Chips & Guacamole",Mexican,9.00
258,109,2023-01-02,18:27:50,110,"Pork Ramen",Asian,17.95
259,109,2023-01-02,18:27:50,117,"Chicken Burrito",Mexican,12.95
260,109,2023-01-02,18:27:50,113,Edamame,Asian,5.00
261,109,2023-01-02,18:27:50,119,"Chicken Torta",Mexican,11.95
262,110,2023-01-02,18:36:19,107,"Orange Chicken",Asian,16.50
263,110,2023-01-02,18:36:19,111,"California Roll",Asian,11.95
264,110,2023-01-02,18:36:19,121,"Cheese Quesadillas",Mexican,10.50
265,110,2023-01-02,18:36:19,122,"Chips & Salsa",Mexican,7.00
266,111,2023-01-02,18:38:01,102,Cheeseburger,American,13.95
267,111,2023-01-02,18:38:01,124,Spaghetti,Italian,14.50
268,111,2023-01-02,18:38:01,113,Edamame,Asian,5.00
269,111,2023-01-02,18:38:01,130,"Shrimp Scampi",Italian,19.95
270,112,2023-01-02,18:41:40,113,Edamame,Asian,5.00
271,113,2023-01-02,18:50:21,102,Cheeseburger,American,13.95
272,113,2023-01-02,18:50:21,129,"Mushroom Ravioli",Italian,15.50
273,113,2023-01-02,18:50:21,105,"Mac & Cheese",American,7.00
274,114,2023-01-02,18:59:32,113,Edamame,Asian,5.00
275,114,2023-01-02,18:59:32,120,"Steak Torta",Mexican,13.95
276,115,2023-01-02,19:05:17,107,"Orange Chicken",Asian,16.50
277,115,2023-01-02,19:05:17,111,"California Roll",Asian,11.95
278,115,2023-01-02,19:05:17,106,"French Fries",American,7.00
279,116,2023-01-02,19:18:49,124,Spaghetti,Italian,14.50
280,117,2023-01-02,19:23:02,118,"Steak Burrito",Mexican,14.95
281,117,2023-01-02,19:23:02,120,"Steak Torta",Mexican,13.95
282,118,2023-01-02,19:26:59,119,"Chicken Torta",Mexican,11.95
283,118,2023-01-02,19:26:59,131,"Chicken Parmesan",Italian,17.95
284,119,2023-01-02,19:32:29,125,"Spaghetti & Meatballs",Italian,17.95
285,120,2023-01-02,19:35:07,108,"Tofu Pad Thai",Asian,14.50
286,120,2023-01-02,19:35:07,109,"Korean Beef Bowl",Asian,17.95
287,120,2023-01-02,19:35:07,131,"Chicken Parmesan",Italian,17.95
288,121,2023-01-02,19:38:48,101,Hamburger,American,12.95
289,121,2023-01-02,19:38:48,125,"Spaghetti & Meatballs",Italian,17.95
290,121,2023-01-02,19:38:48,120,"Steak Torta",Mexican,13.95
291,121,2023-01-02,19:38:48,105,"Mac & Cheese",American,7.00
292,122,2023-01-02,19:50:19,117,"Chicken Burrito",Mexican,12.95
293,123,2023-01-02,20:12:09,110,"Pork Ramen",Asian,17.95
294,124,2023-01-02,20:12:34,101,Hamburger,American,12.95
295,124,2023-01-02,20:12:34,120,"Steak Torta",Mexican,13.95
296,124,2023-01-02,20:12:34,122,"Chips & Salsa",Mexican,7.00
297,124,2023-01-02,20:12:34,114,Potstickers,Asian,9.00
299,126,2023-01-02,20:53:42,132,"Eggplant Parmesan",Italian,16.95
300,127,2023-01-02,20:58:23,113,Edamame,Asian,5.00
301,128,2023-01-02,21:05:06,122,"Chips & Salsa",Mexican,7.00
302,129,2023-01-02,21:13:02,107,"Orange Chicken",Asian,16.50
303,129,2023-01-02,21:13:02,114,Potstickers,Asian,9.00
304,130,2023-01-02,21:14:55,109,"Korean Beef Bowl",Asian,17.95
305,130,2023-01-02,21:14:55,110,"Pork Ramen",Asian,17.95
306,130,2023-01-02,21:14:55,129,"Mushroom Ravioli",Italian,15.50
307,130,2023-01-02,21:14:55,105,"Mac & Cheese",American,7.00
308,131,2023-01-02,21:33:10,104,"Veggie Burger",American,10.50
309,131,2023-01-02,21:33:10,124,Spaghetti,Italian,14.50
310,131,2023-01-02,21:33:10,126,"Fettuccine Alfredo",Italian,14.50
311,131,2023-01-02,21:33:10,123,"Chips & Guacamole",Mexican,9.00
312,132,2023-01-02,21:42:45,113,Edamame,Asian,5.00
313,133,2023-01-02,22:00:17,101,Hamburger,American,12.95
314,133,2023-01-02,22:00:17,109,"Korean Beef Bowl",Asian,17.95
315,133,2023-01-02,22:00:17,114,Potstickers,Asian,9.00
316,134,2023-01-02,22:13:24,107,"Orange Chicken",Asian,16.50
317,134,2023-01-02,22:13:24,105,"Mac & Cheese",American,7.00
318,134,2023-01-02,22:13:24,123,"Chips & Guacamole",Mexican,9.00
319,135,2023-01-02,22:29:34,132,"Eggplant Parmesan",Italian,16.95
320,136,2023-01-02,22:32:49,124,Spaghetti,Italian,14.50
321,136,2023-01-02,22:32:49,118,"Steak Burrito",Mexican,14.95
322,137,2023-01-03,11:34:10,128,"Cheese Lasagna",Italian,15.50
323,137,2023-01-03,11:34:10,113,Edamame,Asian,5.00
324,137,2023-01-03,11:34:10,122,"Chips & Salsa",Mexican,7.00
325,138,2023-01-03,11:44:50,102,Cheeseburger,American,13.95
326,138,2023-01-03,11:44:50,125,"Spaghetti & Meatballs",Italian,17.95
327,138,2023-01-03,11:44:50,127,"Meat Lasagna",Italian,17.95
328,138,2023-01-03,11:44:50,120,"Steak Torta",Mexican,13.95
329,139,2023-01-03,11:57:39,124,Spaghetti,Italian,14.50
330,140,2023-01-03,12:26:44,119,"Chicken Torta",Mexican,11.95
331,140,2023-01-03,12:26:44,132,"Eggplant Parmesan",Italian,16.95
332,141,2023-01-03,13:16:01,108,"Tofu Pad Thai",Asian,14.50
333,142,2023-01-03,13:33:59,126,"Fettuccine Alfredo",Italian,14.50
334,143,2023-01-03,13:41:36,102,Cheeseburger,American,13.95
335,143,2023-01-03,13:41:36,108,"Tofu Pad Thai",Asian,14.50
336,143,2023-01-03,13:41:36,109,"Korean Beef Bowl",Asian,17.95
337,143,2023-01-03,13:41:36,129,"Mushroom Ravioli",Italian,15.50
338,143,2023-01-03,13:41:36,113,Edamame,Asian,5.00
339,143,2023-01-03,13:41:36,119,"Chicken Torta",Mexican,11.95
340,143,2023-01-03,13:41:36,106,"French Fries",American,7.00
341,143,2023-01-03,13:41:36,132,"Eggplant Parmesan",Italian,16.95
342,144,2023-01-03,13:44:28,101,Hamburger,American,12.95
343,144,2023-01-03,13:44:28,107,"Orange Chicken",Asian,16.50
344,144,2023-01-03,13:44:28,102,Cheeseburger,American,13.95
345,144,2023-01-03,13:44:28,104,"Veggie Burger",American,10.50
346,144,2023-01-03,13:44:28,124,Spaghetti,Italian,14.50
347,144,2023-01-03,13:44:28,125,"Spaghetti & Meatballs",Italian,17.95
348,144,2023-01-03,13:44:28,112,"Salmon Roll",Asian,14.95
349,144,2023-01-03,13:44:28,105,"Mac & Cheese",American,7.00
350,144,2023-01-03,13:44:28,105,"Mac & Cheese",American,7.00
351,144,2023-01-03,13:44:28,122,"Chips & Salsa",Mexican,7.00
352,144,2023-01-03,13:44:28,106,"French Fries",American,7.00
353,144,2023-01-03,13:44:28,132,"Eggplant Parmesan",Italian,16.95
354,145,2023-01-03,13:53:48,114,Potstickers,Asian,9.00
355,146,2023-01-03,14:22:10,102,Cheeseburger,American,13.95
356,146,2023-01-03,14:22:10,125,"Spaghetti & Meatballs",Italian,17.95
357,146,2023-01-03,14:22:10,109,"Korean Beef Bowl",Asian,17.95
359,148,2023-01-03,14:40:42,128,"Cheese Lasagna",Italian,15.50
360,149,2023-01-03,14:48:45,131,"Chicken Parmesan",Italian,17.95
361,150,2023-01-03,14:49:58,113,Edamame,Asian,5.00
362,151,2023-01-03,15:09:34,105,"Mac & Cheese",American,7.00
363,151,2023-01-03,15:09:34,123,"Chips & Guacamole",Mexican,9.00
364,152,2023-01-03,15:09:42,109,"Korean Beef Bowl",Asian,17.95
365,152,2023-01-03,15:09:42,131,"Chicken Parmesan",Italian,17.95
366,152,2023-01-03,15:09:42,106,"French Fries",American,7.00
367,152,2023-01-03,15:09:42,114,Potstickers,Asian,9.00
368,153,2023-01-03,15:16:34,129,"Mushroom Ravioli",Italian,15.50
369,154,2023-01-03,15:22:43,119,"Chicken Torta",Mexican,11.95
370,155,2023-01-03,15:28:59,104,"Veggie Burger",American,10.50
371,155,2023-01-03,15:28:59,111,"California Roll",Asian,11.95
372,155,2023-01-03,15:28:59,113,Edamame,Asian,5.00
373,155,2023-01-03,15:28:59,118,"Steak Burrito",Mexican,14.95
374,156,2023-01-03,15:42:19,111,"California Roll",Asian,11.95
375,156,2023-01-03,15:42:19,106,"French Fries",American,7.00
376,157,2023-01-03,15:43:03,117,"Chicken Burrito",Mexican,12.95
377,157,2023-01-03,15:43:03,128,"Cheese Lasagna",Italian,15.50
378,157,2023-01-03,15:43:03,120,"Steak Torta",Mexican,13.95
379,157,2023-01-03,15:43:03,130,"Shrimp Scampi",Italian,19.95
380,158,2023-01-03,15:54:30,127,"Meat Lasagna",Italian,17.95
381,158,2023-01-03,15:54:30,106,"French Fries",American,7.00
382,159,2023-01-03,15:59:22,125,"Spaghetti & Meatballs",Italian,17.95
383,159,2023-01-03,15:59:22,106,"French Fries",American,7.00
384,160,2023-01-03,16:35:33,108,"Tofu Pad Thai",Asian,14.50
385,161,2023-01-03,16:43:46,109,"Korean Beef Bowl",Asian,17.95
386,161,2023-01-03,16:43:46,122,"Chips & Salsa",Mexican,7.00
388,162,2023-01-03,16:51:22,107,"Orange Chicken",Asian,16.50
389,163,2023-01-03,16:54:54,109,"Korean Beef Bowl",Asian,17.95
390,163,2023-01-03,16:54:54,113,Edamame,Asian,5.00
